docker_persistence_1,24.86%,279.6MiB / 1.946GiB
docker_auth_1,6.17%,268.5MiB / 1.946GiB
docker_webui_1,53.13%,361.8MiB / 1.946GiB
docker_registry_1,6.00%,134.5MiB / 1.946GiB
docker_recommender_1,7.89%,249.8MiB / 1.946GiB
docker_image_1,67.98%,245.6MiB / 1.946GiB
docker_db_1,0.13%,65.18MiB / 1.946GiB
docker_persistence_1,55.25%,278.5MiB / 1.946GiB
docker_auth_1,7.98%,265.2MiB / 1.946GiB
docker_webui_1,70.17%,361.6MiB / 1.946GiB
docker_registry_1,5.19%,123.7MiB / 1.946GiB
docker_recommender_1,0.43%,231.2MiB / 1.946GiB
docker_image_1,60.37%,278.4MiB / 1.946GiB
docker_db_1,1.93%,63.44MiB / 1.946GiB
docker_persistence_1,55.63%,282.3MiB / 1.946GiB
docker_auth_1,0.38%,244.2MiB / 1.946GiB
docker_webui_1,82.22%,396.4MiB / 1.946GiB
docker_registry_1,5.08%,114MiB / 1.946GiB
docker_recommender_1,44.69%,218MiB / 1.946GiB
docker_image_1,35.66%,287.1MiB / 1.946GiB
docker_db_1,5.24%,58.07MiB / 1.946GiB
docker_persistence_1,42.49%,274.6MiB / 1.946GiB
docker_auth_1,11.91%,231.8MiB / 1.946GiB
docker_webui_1,46.60%,399.5MiB / 1.946GiB
docker_registry_1,2.76%,111.1MiB / 1.946GiB
docker_recommender_1,56.92%,228.5MiB / 1.946GiB
docker_image_1,59.08%,292.6MiB / 1.946GiB
docker_db_1,0.10%,55.84MiB / 1.946GiB
docker_persistence_1,51.10%,287.9MiB / 1.946GiB
docker_auth_1,3.02%,224.9MiB / 1.946GiB
docker_webui_1,61.57%,407.5MiB / 1.946GiB
docker_registry_1,3.04%,98.3MiB / 1.946GiB
docker_recommender_1,41.38%,227.8MiB / 1.946GiB
docker_image_1,65.31%,290MiB / 1.946GiB
docker_db_1,1.02%,58.4MiB / 1.946GiB
docker_persistence_1,44.54%,294MiB / 1.946GiB
docker_auth_1,7.14%,223.8MiB / 1.946GiB
docker_webui_1,56.44%,412.9MiB / 1.946GiB
docker_registry_1,6.16%,95.34MiB / 1.946GiB
docker_recommender_1,57.17%,230.5MiB / 1.946GiB
docker_image_1,54.01%,292.3MiB / 1.946GiB
docker_db_1,0.10%,56.84MiB / 1.946GiB
docker_persistence_1,26.93%,285.9MiB / 1.946GiB
docker_auth_1,66.18%,218.6MiB / 1.946GiB
docker_webui_1,8.46%,401.5MiB / 1.946GiB
docker_registry_1,3.52%,88.74MiB / 1.946GiB
docker_recommender_1,33.94%,237.9MiB / 1.946GiB
docker_image_1,80.34%,335.4MiB / 1.946GiB
docker_db_1,0.10%,54.24MiB / 1.946GiB
docker_persistence_1,58.03%,285.3MiB / 1.946GiB
docker_auth_1,17.35%,214.3MiB / 1.946GiB
docker_webui_1,30.56%,399.7MiB / 1.946GiB
docker_registry_1,3.06%,82.28MiB / 1.946GiB
docker_recommender_1,14.05%,236.8MiB / 1.946GiB
docker_image_1,153.05%,346MiB / 1.946GiB
docker_db_1,0.17%,49.15MiB / 1.946GiB
docker_persistence_1,51.68%,282.7MiB / 1.946GiB
docker_auth_1,16.14%,193.3MiB / 1.946GiB
docker_webui_1,65.76%,408.4MiB / 1.946GiB
docker_registry_1,9.60%,75.85MiB / 1.946GiB
docker_recommender_1,24.89%,239.1MiB / 1.946GiB
docker_image_1,64.96%,370.1MiB / 1.946GiB
docker_db_1,0.25%,48.07MiB / 1.946GiB
docker_persistence_1,0.75%,271.3MiB / 1.946GiB
docker_auth_1,18.86%,174.9MiB / 1.946GiB
docker_webui_1,84.04%,405.7MiB / 1.946GiB
docker_registry_1,7.57%,67.53MiB / 1.946GiB
docker_recommender_1,21.64%,234.4MiB / 1.946GiB
docker_image_1,91.70%,430.2MiB / 1.946GiB
docker_db_1,0.14%,46.79MiB / 1.946GiB
docker_persistence_1,11.12%,257.6MiB / 1.946GiB
docker_auth_1,25.53%,176.3MiB / 1.946GiB
docker_webui_1,59.38%,404.3MiB / 1.946GiB
docker_registry_1,3.86%,61.47MiB / 1.946GiB
docker_recommender_1,59.23%,232.1MiB / 1.946GiB
docker_image_1,63.60%,437.2MiB / 1.946GiB
docker_db_1,0.13%,46.3MiB / 1.946GiB
docker_persistence_1,1.74%,248.4MiB / 1.946GiB
docker_auth_1,34.41%,186.4MiB / 1.946GiB
docker_webui_1,86.45%,413.9MiB / 1.946GiB
docker_registry_1,3.75%,61.2MiB / 1.946GiB
docker_recommender_1,17.04%,229.2MiB / 1.946GiB
docker_image_1,80.23%,440.1MiB / 1.946GiB
docker_db_1,0.11%,46.08MiB / 1.946GiB
docker_persistence_1,46.94%,235.9MiB / 1.946GiB
docker_auth_1,24.59%,183.8MiB / 1.946GiB
docker_webui_1,53.66%,409.9MiB / 1.946GiB
docker_registry_1,6.49%,59.52MiB / 1.946GiB
docker_recommender_1,39.86%,218.5MiB / 1.946GiB
docker_image_1,52.05%,440.1MiB / 1.946GiB
docker_db_1,1.83%,43.29MiB / 1.946GiB
docker_persistence_1,57.92%,234.4MiB / 1.946GiB
docker_auth_1,19.86%,173.7MiB / 1.946GiB
docker_webui_1,65.28%,402.6MiB / 1.946GiB
docker_registry_1,10.68%,67.69MiB / 1.946GiB
docker_recommender_1,9.62%,234.4MiB / 1.946GiB
docker_image_1,62.68%,442.9MiB / 1.946GiB
docker_db_1,0.25%,44.4MiB / 1.946GiB
docker_persistence_1,31.49%,219.7MiB / 1.946GiB
docker_auth_1,18.69%,167.5MiB / 1.946GiB
docker_webui_1,49.72%,395.2MiB / 1.946GiB
docker_registry_1,1.95%,71.41MiB / 1.946GiB
docker_recommender_1,55.64%,244.1MiB / 1.946GiB
docker_image_1,57.50%,443.9MiB / 1.946GiB
docker_db_1,0.29%,43.18MiB / 1.946GiB
docker_persistence_1,40.90%,217.6MiB / 1.946GiB
docker_auth_1,24.94%,169.7MiB / 1.946GiB
docker_webui_1,45.32%,391.6MiB / 1.946GiB
docker_registry_1,5.14%,73.5MiB / 1.946GiB
docker_recommender_1,49.06%,248.2MiB / 1.946GiB
docker_image_1,41.42%,445.7MiB / 1.946GiB
docker_db_1,0.61%,41.96MiB / 1.946GiB
docker_persistence_1,58.02%,224.6MiB / 1.946GiB
docker_auth_1,28.13%,164.8MiB / 1.946GiB
docker_webui_1,55.42%,393.2MiB / 1.946GiB
docker_registry_1,3.93%,73.86MiB / 1.946GiB
docker_recommender_1,22.32%,250MiB / 1.946GiB
docker_image_1,59.00%,447.1MiB / 1.946GiB
docker_db_1,0.33%,40.79MiB / 1.946GiB
docker_persistence_1,53.06%,230.8MiB / 1.946GiB
docker_auth_1,26.11%,161.8MiB / 1.946GiB
docker_webui_1,56.52%,389.1MiB / 1.946GiB
docker_registry_1,8.10%,76.07MiB / 1.946GiB
docker_recommender_1,22.58%,247.5MiB / 1.946GiB
docker_image_1,56.38%,447.3MiB / 1.946GiB
docker_db_1,0.30%,39.66MiB / 1.946GiB
docker_persistence_1,54.33%,230.9MiB / 1.946GiB
docker_auth_1,43.53%,164.3MiB / 1.946GiB
docker_webui_1,52.61%,389.3MiB / 1.946GiB
docker_registry_1,7.21%,77.49MiB / 1.946GiB
docker_recommender_1,17.23%,247.9MiB / 1.946GiB
docker_image_1,55.13%,450MiB / 1.946GiB
docker_db_1,0.56%,38.53MiB / 1.946GiB
docker_persistence_1,49.32%,233.4MiB / 1.946GiB
docker_auth_1,29.61%,170.8MiB / 1.946GiB
docker_webui_1,49.24%,383.3MiB / 1.946GiB
docker_registry_1,2.14%,77.25MiB / 1.946GiB
docker_recommender_1,30.76%,243.2MiB / 1.946GiB
docker_image_1,49.39%,450.9MiB / 1.946GiB
docker_db_1,0.53%,36.59MiB / 1.946GiB
docker_persistence_1,50.19%,236.4MiB / 1.946GiB
docker_auth_1,32.47%,162.2MiB / 1.946GiB
docker_webui_1,52.22%,383.8MiB / 1.946GiB
docker_registry_1,3.19%,77.6MiB / 1.946GiB
docker_recommender_1,46.44%,243.9MiB / 1.946GiB
docker_image_1,46.28%,455.1MiB / 1.946GiB
docker_db_1,0.37%,36.59MiB / 1.946GiB
docker_persistence_1,45.06%,232.4MiB / 1.946GiB
docker_auth_1,35.47%,164.8MiB / 1.946GiB
docker_webui_1,46.91%,382.4MiB / 1.946GiB
docker_registry_1,1.55%,77.02MiB / 1.946GiB
docker_recommender_1,37.91%,243.5MiB / 1.946GiB
docker_image_1,49.31%,455.1MiB / 1.946GiB
docker_db_1,0.50%,35.75MiB / 1.946GiB
docker_persistence_1,58.64%,233.7MiB / 1.946GiB
docker_auth_1,28.91%,165.1MiB / 1.946GiB
docker_webui_1,56.97%,382.7MiB / 1.946GiB
docker_registry_1,8.80%,77.96MiB / 1.946GiB
docker_recommender_1,13.46%,244.2MiB / 1.946GiB
docker_image_1,58.20%,456MiB / 1.946GiB
docker_db_1,0.45%,35.75MiB / 1.946GiB
docker_persistence_1,45.77%,234.7MiB / 1.946GiB
docker_auth_1,17.01%,168.1MiB / 1.946GiB
docker_webui_1,56.70%,382.8MiB / 1.946GiB
docker_registry_1,1.74%,78.36MiB / 1.946GiB
docker_recommender_1,49.80%,244.7MiB / 1.946GiB
docker_image_1,54.82%,456.7MiB / 1.946GiB
docker_db_1,0.44%,35.75MiB / 1.946GiB
docker_persistence_1,60.24%,233.5MiB / 1.946GiB
docker_auth_1,18.87%,166.9MiB / 1.946GiB
docker_webui_1,67.39%,379.3MiB / 1.946GiB
docker_registry_1,4.39%,77.24MiB / 1.946GiB
docker_recommender_1,14.98%,243MiB / 1.946GiB
docker_image_1,54.81%,457.4MiB / 1.946GiB
docker_db_1,0.61%,34.92MiB / 1.946GiB
docker_persistence_1,47.98%,241.7MiB / 1.946GiB
docker_auth_1,24.30%,165.6MiB / 1.946GiB
docker_webui_1,58.02%,377.1MiB / 1.946GiB
docker_registry_1,10.21%,76.77MiB / 1.946GiB
docker_recommender_1,14.82%,242.8MiB / 1.946GiB
docker_image_1,62.80%,459.6MiB / 1.946GiB
docker_db_1,0.52%,33.93MiB / 1.946GiB
docker_persistence_1,53.78%,248.6MiB / 1.946GiB
docker_auth_1,21.84%,166.1MiB / 1.946GiB
docker_webui_1,51.09%,377.1MiB / 1.946GiB
docker_registry_1,2.48%,77.19MiB / 1.946GiB
docker_recommender_1,45.95%,243.1MiB / 1.946GiB
docker_image_1,51.95%,460.2MiB / 1.946GiB
docker_db_1,0.78%,33.93MiB / 1.946GiB
docker_persistence_1,49.37%,248.7MiB / 1.946GiB
docker_auth_1,21.46%,166.2MiB / 1.946GiB
docker_webui_1,51.15%,377.2MiB / 1.946GiB
docker_registry_1,16.78%,78.71MiB / 1.946GiB
docker_recommender_1,50.39%,244MiB / 1.946GiB
docker_image_1,24.01%,460.4MiB / 1.946GiB
docker_db_1,0.39%,33.52MiB / 1.946GiB
docker_persistence_1,40.12%,241.7MiB / 1.946GiB
docker_auth_1,34.97%,170.8MiB / 1.946GiB
docker_webui_1,49.58%,368.9MiB / 1.946GiB
docker_registry_1,39.74%,91.6MiB / 1.946GiB
docker_recommender_1,8.25%,240.6MiB / 1.946GiB
docker_image_1,37.10%,459.6MiB / 1.946GiB
docker_db_1,0.56%,30.38MiB / 1.946GiB
docker_persistence_1,47.43%,253.9MiB / 1.946GiB
docker_auth_1,42.64%,170.9MiB / 1.946GiB
docker_webui_1,47.46%,370.2MiB / 1.946GiB
docker_registry_1,4.60%,83.91MiB / 1.946GiB
docker_recommender_1,38.67%,246.3MiB / 1.946GiB
docker_image_1,62.27%,460MiB / 1.946GiB
docker_db_1,0.51%,30.38MiB / 1.946GiB
docker_persistence_1,59.82%,252.6MiB / 1.946GiB
docker_auth_1,26.03%,175.5MiB / 1.946GiB
docker_webui_1,66.14%,365.9MiB / 1.946GiB
docker_registry_1,6.89%,82.8MiB / 1.946GiB
docker_recommender_1,9.78%,246.8MiB / 1.946GiB
docker_image_1,48.97%,459.7MiB / 1.946GiB
docker_db_1,0.33%,27.93MiB / 1.946GiB
docker_persistence_1,51.14%,253.6MiB / 1.946GiB
docker_auth_1,51.84%,179MiB / 1.946GiB
docker_webui_1,50.33%,365.8MiB / 1.946GiB
docker_registry_1,2.16%,83.58MiB / 1.946GiB
docker_recommender_1,32.52%,247.8MiB / 1.946GiB
docker_image_1,40.85%,461.8MiB / 1.946GiB
docker_db_1,0.59%,27.93MiB / 1.946GiB
docker_persistence_1,51.02%,258MiB / 1.946GiB
docker_auth_1,31.65%,177.1MiB / 1.946GiB
docker_webui_1,72.66%,362.8MiB / 1.946GiB
docker_registry_1,2.75%,84.17MiB / 1.946GiB
docker_recommender_1,21.58%,240.5MiB / 1.946GiB
docker_image_1,57.25%,457.3MiB / 1.946GiB
docker_db_1,0.25%,27.54MiB / 1.946GiB
docker_persistence_1,14.34%,265.8MiB / 1.946GiB
docker_auth_1,5.17%,176.7MiB / 1.946GiB
docker_webui_1,76.76%,352MiB / 1.946GiB
docker_registry_1,51.88%,88.47MiB / 1.946GiB
docker_recommender_1,61.57%,245.7MiB / 1.946GiB
docker_image_1,7.67%,451.8MiB / 1.946GiB
docker_db_1,0.13%,27.21MiB / 1.946GiB
